filename,algo2_topics,algo3_topics,algo2_avg_duration,algo3_avg_duration,algo2_avg_sentences,algo3_avg_sentences,duration
audio_001_16k_mono_clean_norm_trim_chunk_189_cleaned.json,1,1,24.54,24.54,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_190_cleaned.json,1,1,24.98,24.98,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_191_cleaned.json,1,1,24.98,24.98,8.0,8.0,0
audio_001_16k_mono_clean_norm_trim_chunk_192_cleaned.json,1,1,23.84,23.84,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_193_cleaned.json,1,1,24.2,24.2,8.0,8.0,0
audio_001_16k_mono_clean_norm_trim_chunk_194_cleaned.json,1,2,24.86,12.350000000000001,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_195_cleaned.json,1,1,23.74,23.74,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_196_cleaned.json,1,3,23.64,7.826666666666668,16.0,5.333333333333333,0
audio_001_16k_mono_clean_norm_trim_chunk_197_cleaned.json,1,2,24.099999999999998,11.86,10.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_198_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_199_cleaned.json,1,2,24.9,11.99,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_200_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_201_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_202_cleaned.json,1,1,24.74,24.74,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_203_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_204_cleaned.json,1,1,24.74,24.74,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_205_cleaned.json,1,2,24.48,11.829999999999998,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_206_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_207_cleaned.json,1,3,24.38,7.926666666666666,11.0,3.6666666666666665,0
